Family,Species,French Name,Latin Name,Species Code,Num
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Greater Roadrunner,Grand Géocoucou,Geococcyx californianus,GRRO,1
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Yellow-billed Cuckoo,Coulicou à bec jaune,Coccyzus americanus,YBCU,1
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Mangrove Cuckoo,Coulicou manioc,Coccyzus minor,MACU,2
"Cuckoos, Roadrunners, and Anis (Cuculidae)",Black-billed Cuckoo,Coulicou à bec noir,Coccyzus erythropthalmus,BBCU,1
Goatsuckers (Caprimulgidae),Lesser Nighthawk,Engoulevent minime,Chordeiles acutipennis,LENI,1
Goatsuckers (Caprimulgidae),Common Nighthawk,Engoulevent d'Amérique,Chordeiles minor,CONI,1
Goatsuckers (Caprimulgidae),Antillean Nighthawk,Engoulevent piramidig,Chordeiles gundlachii,ANNI,2
Goatsuckers (Caprimulgidae),Common Pauraque,Engoulevent pauraqué,Nyctidromus albicollis,COPA,2
Goatsuckers (Caprimulgidae),Common Poorwill,Engoulevent de Nuttall,Phalaenoptilus nuttallii,COPO,1
Goatsuckers (Caprimulgidae),Chuck-will's-widow,Engoulevent de Caroline,Antrostomus carolinensis,CWWI,1
Goatsuckers (Caprimulgidae),Eastern Whip-poor-will,Engoulevent bois-pourri,Antrostomus vociferus,EWPW,1
Goatsuckers (Caprimulgidae),Mexican Whip-poor-will,Engoulevent d'Arizona,Antrostomus arizonae,MWPW,2
Swifts (Apodidae),Black Swift,Martinet sombre,Cypseloides niger,BLSW,2
Swifts (Apodidae),Chimney Swift,Martinet ramoneur,Chaetura pelagica,CHSW,1
Swifts (Apodidae),Vaux's Swift,Martinet de Vaux,Chaetura vauxi,VASW,1
Swifts (Apodidae),White-throated Swift,Martinet à gorge blanche,Aeronautes saxatalis,WTSW,1
Hummingbirds (Trochilidae),Lucifer Hummingbird,Colibri lucifer,Calothorax lucifer,LUHU,2
Hummingbirds (Trochilidae),Ruby-throated Hummingbird,Colibri à gorge rubis,Archilochus colubris,RTHU,1
Hummingbirds (Trochilidae),Black-chinned Hummingbird,Colibri à gorge noire,Archilochus alexandri,BCHU,1
Hummingbirds (Trochilidae),Anna's Hummingbird,Colibri d'Anna,Calypte anna,ANHU,1
Hummingbirds (Trochilidae),Costa's Hummingbird,Colibri de Costa,Calypte costae,COHU,1
Hummingbirds (Trochilidae),Calliope Hummingbird,Colibri calliope,Selasphorus calliope,CAHU,1
Hummingbirds (Trochilidae),Rufous Hummingbird,Colibri roux,Selasphorus rufus,RUHU,1
Hummingbirds (Trochilidae),Allen's Hummingbird,Colibri d'Allen,Selasphorus sasin,ALHU,1
Hummingbirds (Trochilidae),Broad-tailed Hummingbird,Colibri à queue large,Selasphorus platycercus,BTHU,1
Hummingbirds (Trochilidae),Broad-billed Hummingbird,Colibri circé,Cynanthus latirostris,BBIH,2
Hummingbirds (Trochilidae),Violet-crowned Hummingbird,Ariane à couronne violette,Leucolia (Ramosomyia) violiceps,VCHU,2
Hummingbirds (Trochilidae),Buff-bellied Hummingbird,Ariane du Yucatan,Amazilia yucatanensis,BBEH,2
"Rails, Gallinules, and Coots (Rallidae)",Ridgway's Rail,Râle de Californie,Rallus obsoletus,RIRA,2
"Rails, Gallinules, and Coots (Rallidae)",King Rail,Râle élégant,Rallus elegans,KIRA,1
"Rails, Gallinules, and Coots (Rallidae)",Clapper Rail,Râle tapageur,Rallus crepitans,CLRA,1
"Rails, Gallinules, and Coots (Rallidae)",Virginia Rail,Râle de Virginie,Rallus limicola,VIRA,1
"Rails, Gallinules, and Coots (Rallidae)",Sora,Marouette de Caroline,Porzana carolina,SORA,1
"Rails, Gallinules, and Coots (Rallidae)",Common Gallinule,Gallinule d'Amérique,Gallinula galeata,COGA,1
"Rails, Gallinules, and Coots (Rallidae)",American Coot,Foulque d'Amérique,Fulica americana,AMCO,1
"Rails, Gallinules, and Coots (Rallidae)",Purple Gallinule,Talève violacée,Porphyrio martinica (martinicus),PUGA,1
"Rails, Gallinules, and Coots (Rallidae)",Yellow Rail,Râle jaune,Coturnicops noveboracensis,YERA,2
"Rails, Gallinules, and Coots (Rallidae)",Black Rail,Râle noir,Laterallus jamaicensis,BLRA,2
Limpkins (Aramidae),Limpkin,Courlan brun,Aramus guarauna,LIMP,2
Cranes (Gruidae),Sandhill Crane,Grue du Canada,Antigone canadensis,SACR,1
Cranes (Gruidae),Whooping Crane,Grue blanche,Grus americana,WHCR,2
Stilts and Avocets (Recurvirostridae),Black-necked Stilt,Échasse d'Amérique,Himantopus mexicanus,BNST,1
Stilts and Avocets (Recurvirostridae),American Avocet,Avocette d'Amérique,Recurvirostra americana,AMAV,1
Oystercatchers (Haematopodidae),American Oystercatcher,Huîtrier d'Amérique,Haematopus palliatus,AMOY,1
Oystercatchers (Haematopodidae),Black Oystercatcher,Huîtrier de Bachman,Haematopus bachmani,BLOY,1
Lapwings and Plovers (Charadriidae),American Golden-Plover,Pluvier bronzé,Pluvialis dominica,AMGP,1
Lapwings and Plovers (Charadriidae),Pacific Golden-Plover,Pluvier fauve,Pluvialis fulva,PAGP,2
Lapwings and Plovers (Charadriidae),Killdeer,Pluvier kildir,Charadrius vociferus,KILL,1
Lapwings and Plovers (Charadriidae),Common Ringed Plover,Pluvier grand-gravelot,Charadrius hiaticula,CRPL,3
