"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Red Junglefowl,Coq bankiva,Gallus gallus,REJU,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Himalayan Snowcock,Tétraogalle de l'Himalaya,Tetraogallus himalayensis,HISN,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Chukar,Perdrix choukar,Alectoris chukar,CHUK,2
"Partridges, Grouse, Turkeys, and Old World Quail (Phasianidae)",Erckel's Francolin,Francolin d'Erckel,Pternistis erckelii,ERFR,2
Flamingos (Phoenicopteridae),American Flamingo,Flamant des Caraïbes,Phoenicopterus ruber,AMFL,3
Grebes (Podicipedidae),Least Grebe,Grèbe minime,Tachybaptus dominicus,LEGR,2
Grebes (Podicipedidae),Pied-billed Grebe,Grèbe à bec bigarré,Podilymbus podiceps,PBGR,1
Grebes (Podicipedidae),Horned Grebe,Grèbe esclavon,Podiceps auritus,HOGR,1
Grebes (Podicipedidae),Red-necked Grebe,Grèbe jougris,Podiceps grisegena,RNGR,1
Grebes (Podicipedidae),Eared Grebe,Grèbe à cou noir,Podiceps nigricollis,EAGR,1
Grebes (Podicipedidae),Western Grebe,Grèbe élégant,Aechmophorus occidentalis,WEGR,1
Grebes (Podicipedidae),Clark's Grebe,Grèbe à face blanche,Aechmophorus clarkii,CLGR,1
Sandgrouses (Pteroclidae),Chestnut-bellied Sandgrouse,Ganga à ventre brun,Pterocles exustus,CBSA,3
Pigeons and Doves (Columbidae),Rock Pigeon,Pigeon biset,Columba livia,ROPI,1
Pigeons and Doves (Columbidae),Common Wood-Pigeon (Wood Pigeon),Pigeon ramier,Columba palumbus,CWPI,5
Pigeons and Doves (Columbidae),Scaly-naped Pigeon,Pigeon à cou rouge,Patagioenas squamosa,SNPI,5
Pigeons and Doves (Columbidae),White-crowned Pigeon,Pigeon à couronne blanche,Patagioenas leucocephala,WCPI,2
Pigeons and Doves (Columbidae),Red-billed Pigeon,Pigeon à bec rouge,Patagioenas flavirostris,RBPI,2
Pigeons and Doves (Columbidae),Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,BTPI,1
Pigeons and Doves (Columbidae),Oriental Turtle-Dove,Tourterelle orientale,Streptopelia orientalis,ORTD,4
Pigeons and Doves (Columbidae),European Turtle-Dove,Tourterelle des bois,Streptopelia turtur,EUTD,5
Pigeons and Doves (Columbidae),Eurasian Collared-Dove,Tourterelle turque,Streptopelia decaocto,EUCD,1
Pigeons and Doves (Columbidae),Spotted Dove,Tourterelle tigrine,Streptopelia chinensis,SPDO,2
Pigeons and Doves (Columbidae),Zebra Dove,Géopélie zébrée,Geopelia striata,ZEBD,2
Pigeons and Doves (Columbidae),Passenger Pigeon,Tourte voyageuse,Ectopistes migratorius,PAPI,6
